DATUMVOLEB;OBVOD;CKAND;VSTRANA;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;HLASY_K1;PROC_K1;URIZ_PR_K1;ZVOLEN_K1;LOS_K1;HLASY_K2;PROC_K2;URIZ_PR_K2;ZVOLEN_K2;LOS_K2;NAZEV_VS
20121012;59;6;7;"Stanislava";"Slavíková";"";"";52;"zástupkynì odborovıch svazù";"Brno";3;7;7;"A";4788;17.31;17.31395096550227;2;0;3827;26.24;26.24288555166975;0;0;"Èeská strana sociálnì demokratická"
20121012;59;7;764;"Viliam";"Záthureckı";"Ing.";"MBA, Ph.D.";53;"vysokoškolskı uèitel, ekonom";"Brno";3;764;764;"A";145;.52;.52433644319085;0;0;0;0;0;0;0;"Národní socialisté - levice 21. století"
20121012;59;8;659;"Karel";"Rais";"prof. Ing.";"CSc.,MBA,dr.h.c";62;"rektor VUT v Brnì";"Brno";3;99;721;"A";2202;7.96;7.96268170969841;0;0;0;0;0;0;0;"Koalice ""STAN"" a TOP 09"
20121012;59;9;5;"Eliška";"Wagnerová";"JUDr.";"Ph.D.";64;"emeritní soudkynì";"Brno";3;99;5;"A";7396;26.74;26.74477471613509;2;0;10756;73.75;73.75711444833024;1;0;"Strana zelenıch"
20121012;59;10;53;"Richard";"Svoboda";"PhDr.";"MBA";48;"senátor";"Brno";3;53;53;"A";2116;7.65;7.65169595718521;0;0;0;0;0;0;0;"Obèanská demokratická strana"
20121012;62;1;7;"Boena";"Sekaninová";"";"";55;"senátorka";"Prostìjov";589250;7;7;"A";14184;42.65;42.65992962194351;2;0;12313;73.3;73.30912121933793;1;0;"Èeská strana sociálnì demokratická"
20121012;62;2;659;"Aleš";"Nevrla";"MUDr.";"";56;"lékaø";"Prostìjov";589250;99;721;"A";4304;12.94;12.94475021805167;0;0;0;0;0;0;0;"Koalice ""STAN"" a TOP 09"
20121012;62;3;47;"Jaroslav";"Šlambor";"PaedDr.";"";63;"OSVÈ - poradenská èinnost";"Prostìjov";589250;47;47;"A";6311;18.98;18.98102198562362;2;0;4483;26.69;26.69087878066206;0;0;"Komunistická strana Èech a Moravy"
20121012;62;4;1;"Pavel";"Horák";"Ing.";"";48;"námìstek hejtmana";"Grygov";501841;1;1;"A";4234;12.73;12.73421757045324;0;0;0;0;0;0;0;"Køesan.a demokrat.unie-Èeskosl.strana lidová"
20121012;62;5;53;"Ladislav";"upaniè";"Mgr.";"";69;"herec, dabér";"Praha 4";500119;99;53;"A";4216;12.68;12.68008060392793;0;0;0;0;0;0;0;"Obèanská demokratická strana"
20121012;65;1;7;"Miloslav";"Vlèek";"Ing.";"";51;"OSVÈ";"Zlaté Hory";597996;7;7;"A";6746;22.71;22.71227526765874;2;0;8227;44.47;44.47507838685263;0;0;"Èeská strana sociálnì demokratická"
20121012;65;2;80;"Roman";"Gawlas";"Ing.";"";60;"dùlní technik, zemìmìøiè";"Èeská Ves";569356;99;80;"E";0;0;0;0;0;0;0;0;0;0;"Nezávislí kandidáti"
20121012;65;3;80;"Jan";"Kubíèek";"";"";51;"starosta, OSVÈ";"Janoušov";553212;99;80;"A";2703;9.1;9.10039727964446;0;0;0;0;0;0;0;"Nezávislí kandidáti"
20121012;65;4;764;"Vilém";"Bruk";"MUDr.";"MBA";53;"lékaø";"Olomouc";500496;764;764;"A";396;1.33;1.33324355262271;0;0;0;0;0;0;0;"Národní socialisté - levice 21. století"
20121012;65;5;594;"Zdenìk";"Bro";"Mgr. Bc.";"";55;"starosta";"Šumperk";523704;99;1;"A";7578;25.51;25.51343343882566;2;0;10271;55.52;55.52492161314736;1;0;"Koalice KDU-ÈSL a NV"
20121012;65;6;53;"Petr";"Procházka";"Mgr.";"";49;"øeditel støední školy";"Jeseník";536385;53;53;"A";4483;15.09;15.09325971315062;0;0;0;0;0;0;0;"Obèanská demokratická strana"
